#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49
4;82,4647962043;436,220884232;34,4259558801;155,675724541;30,8052256823;348,866896769;26,9462756811;299,341648441;572,572606733;135,667862421;428,476081788;44,996547933;565,163243999;55,5898192658;419,017563028;474,834626176;126,88831339;346,705562951;510,118767028;659,649060409;193,342998273;152,962296289;708,284341274;640,70231449;647,696157458;293,706760837;75,3063208387;602,033864802;83,8336798947;144,871706412;139,449417285;528,096730622;39,9231642917;141,711025243;630,468083911;126,776143111;565,547094041;219,68090647;37,3587793031;682,012321685;116,705778052;23,7046745793;36,612754136;686,388273246;54,3260057048;420,704200809;692,274632738;64,9376850702;26,245902251;712,704423245
5;157,0023559;113,310060583;35,0902720461;24,8699957112;195,375522399;22,2132409097;23,7673189259;30,3360366251;103,374103655;72,9768266239;24,1591023342;121,184120611;30,4467098949;61,7188335457;34,797615556;110,948171847;30,1415369501;31,2199153915;27,9013627037;29,2991478717;185,187599556;138,277373622;25,117687907;35,0902720461;28,0421503516;25,9921746051;29,7085578476;33,1141806396;47,6933050528;59,2461893148;223,832241996;80,5607401376;23,2498929945;54,8459059256;46,3227011624;24,6446416389;21,8400847268;110,761578007;89,3581979603;30,335606273;53,2317667359;22,6136206778;26,9487662583;27,5968552787;23,8962357433;26,7981392138;423,541126347;22,558061217;26,2262670434;561,106197616
6;24,1539851924;75,0778829975;46,4995654817;23,481599464;49,8203854365;111,578809016;30,0832617658;46,5790171994;35,065913662;200,47606344;28,6327951226;34,3617527799;28,7585954495;24,0084281949;24,2811915812;29,5474637827;768,116161181;28,8385728023;27,8478074251;303,08082644;305,002284573;103,582315554;27,6014174652;28,2744245432;24,3425593672;88,5680998813;26,5488065271;24,7265271949;25,4521542759;84,9242018499;34,3421928623;61,3337933587;31,2099097889;733,265898981;30,5416350327;136,764839836;25,7130043779;95,1421673762;31,0559094148;26,63877199;24,3646973981;29,5609860426;26,4189010813;95,7067475289;191,432313889;84,4633349234;25,8696079782;23,8960080577;25,3983892974;27,9538825634
7;22,2917707875;32,4836420814;29,2725244156;26,8819566341;28,9064040638;26,9150767036;28,7401704092;85,6634287382;29,9650180052;51,615334095;28,8883353039;26,9326197922;30,4748222945;31,8644899568;26,3293022486;28,5255129625;33,6380931121;33,4469729059;29,786830475;65,7555557424;26,6285420581;28,5287846908;25,1458748842;30,5081644593;30,3640309323;25,7812885718;45,6945293277;27,3216651947;49,7057655458;30,3776787067;30,8538033246;32,9367545825;26,2791109567;29,2307352241;29,5005907518;174,07648661;159,715134456;30,8222307216;30,2365517252;34,6018187849;30,1517288992;35,0902720461;26,6499974737;32,3374966925;174,031746113;28,2012316332;26,0333823263;115,941262813;28,5479346454;54,76910889
8;29,0340907432;28,3319390191;34,7394450303;30,1637187667;30,8148601062;26,8929557702;34,5908365468;26,1059663964;27,5799574006;90,6292769739;30,9737798419;31,7078479694;28,3942451654;27,3940283342;29,1888790552;28,0054751229;28,5157975934;35,0902712321;94,4301755019;32,0378042784;81,4899294585;25,3822358025;27,3145793636;32,4050191694;28,8282897025;29,9546211306;52,2516966112;35,0895626211;26,0060452603;37,8446972891;28,2527988911;29,0405340501;29,5192151765;24,9199508177;28,6499012814;23,7265221544;29,3758608199;26,6382352332;154,192433807;35,0902589435;28,0187850607;32,4366745487;35,0900661832;31,7475698539;28,8260086257;35,0892503878;24,5981643646;59,5777357131;28,7882160776;31,9666736842
9;31,925480821;37,3553228648;26,6520873073;32,0567222802;27,6018064081;26,3486980636;29,4647928319;32,3159702573;34,2717757257;35,0857426178;26,8339905052;28,9109175911;35,089484304;28,9155072429;30,6677586276;32,2686949006;27,5127474647;29,2510071395;39,6127863309;26,9471957242;27,673068022;30,6089964138;32,4528294013;30,6550679288;30,6951858929;26,1786624914;27,0009155567;28,6278748706;30,8858798215;35,0550581801;28,5923792845;27,4930820528;34,1573257771;32,5843302613;27,4387367982;31,8015812509;26,112494179;30,4244463057;32,3066212738;36,7149023323;28,8347063901;29,2857189925;133,094079729;29,7211660162;93,7269329106;25,1682124986;27,0075842113;28,2528722605;28,4139041123;55,1940106341
10;53,3402108062;30,9031849843;27,8581808439;27,0623170592;27,3158201805;29,5769576826;35,6654078866;29,7184687664;31,9804687767;27,9735837046;27,7356981125;28,5295113421;26,6736618085;30,2229189204;25,8829908502;35,0830346668;35,1060731454;26,9021425022;29,6236580561;36,1470203331;35,0521971629;29,5533932573;33,556338337;25,3185760804;35,0443634054;51,9281821599;32,7924813549;27,8690551749;31,1275203576;30,7455071942;26,3479947788;48,4069006827;28,9937062382;28,4081282408;35,090276077;30,4222234237;30,4121843321;34,6840839343;34,5214280817;27,899176322;31,0259230966;30,7052357115;35,085239615;35,0618088561;169,838158302;27,5318048368;28,8534369238;67,6501245087;29,8675003121;46,716633189
11;26,3515718123;28,5882228293;32,077906073;27,0724662924;29,4011063546;33,9030713383;27,2344418876;28,862163234;35,1361116565;30,2924616165;24,682034214;35,089921123;34,9347315972;27,7629702874;27,9607716477;30,0003270471;28,3504549793;27,0252803898;25,9538412049;34,376451379;29,1098237266;25,5243177934;30,6616257275;27,0549262634;29,4828076795;28,9439404732;39,2050101139;33,8562798256;26,9987587576;27,0903249723;27,4233637086;27,8849601086;35,0681098567;34,9966877436;27,7290995897;26,9460748808;29,7901259808;29,3740734196;28,439442345;103,308626883;35,0814809486;27,4907120969;29,4686966962;27,7943620257;24,497960251;28,9177906558;26,2658863657;28,0963577992;28,0595028482;32,6745077487
12;32,9189955849;171,317972133;26,9324286079;30,2943364315;32,3760003252;31,8788359019;27,9943709164;26,0385836004;32,3311509396;26,82457558;30,379576447;32,3303542684;94,8404487497;33,6821705001;29,7994985145;25,1755909653;30,9997382812;98,2765444199;29,7200485025;40,861682731;28,4003157901;30,5046615872;34,939806409;27,4949988601;26,8277577558;28,6197486313;28,1664378965;29,1956448977;29,0034362227;29,901637553;26,2226379715;34,9814962237;30,7932853997;29,1988391802;28,6235580165;28,6367157977;31,0817887993;30,8560853488;29,8562190796;28,3845431658;103,432362717;29,1392850643;28,9620506173;27,1371630431;31,3355904724;30,1997045751;27,7459604299;30,0066752726;29,5055967599;29,301904467
13;29,2117382102;30,8032799712;27,991324507;31,5448337152;32,4025948881;29,6041963728;29,4724725731;32,9967270127;29,2892473841;29,0867356836;29,2246677616;31,6887896142;28,6875251828;32,1106337504;26,0274232398;28,060997104;31,2006262126;31,4118570124;29,8806117921;28,0161130768;27,2317558529;32,1293199559;28,2582073459;28,3655283848;30,2894884484;35,0214491229;31,8449856459;27,1766812229;34,432208945;28,9006801523;46,7248973771;26,3413964993;34,4769474525;31,2317097722;26,6968060173;28,3548678592;28,803430451;35,0242937212;30,1680936608;28,6574695336;30,0344761972;28,9502919557;24,6205763829;48,2652236117;30,7890015687;29,2426531133;27,7077709962;26,9748216447;34,9849321724;29,1595793526
14;28,8806114255;28,2918247145;31,6981273644;29,2289064132;35,0626144;33,7676679993;28,4586189094;29,0192787303;32,2408598697;32,8837285746;27,6449550814;30,3582485817;31,7675308398;27,1522592039;27,6642351315;27,2708498645;30,0146754138;26,272818374;33,5203275261;29,7848758569;24,5785119987;29,4002024294;32,1058737937;30,6713724436;28,5132134621;32,1405055038;31,4508456277;48,4663021986;28,3344850496;26,7129009897;29,6516622493;32,3147882303;26,4821786133;28,8860651703;30,4098830899;34,8788297056;34,0234492622;28,532802706;25,2897275386;29,3803258402;30,2316699207;33,210122209;32,0219885107;30,4943312672;35,078280894;29,7053332435;30,1860030237;26,4939296234;31,5181301593;32,2230123921
15;34,0713345255;30,9446544595;29,3281658807;29,5900882192;31,6644447895;28,4837212209;29,468888767;29,2885414808;29,5287218905;33,3678084136;29,8366197961;30,1665270122;29,2256888742;34,9606968379;27,2591162813;28,9768807225;34,2312355548;34,9918181547;29,489982779;31,4667274498;30,1043965345;28,0872209021;26,833340145;29,5613720968;30,5040371855;30,6598443407;27,2214110548;28,5654776415;28,0952721289;33,8258499385;34,2365030298;28,878927819;28,6483445755;33,7869249404;30,9872363838;27,3592916178;31,083844203;28,2825541382;33,3014569973;32,0369088144;34,562468598;28,7935595399;29,3952590872;30,1434741367;29,0451881107;27,5409435985;33,3464873341;30,9661074127;29,5454058986;27,1867569777
