#examples;error0;error1;error2;error3;error4;error5;error6;error7;error8;error9;error10;error11;error12;error13;error14;error15;error16;error17;error18;error19;error20;error21;error22;error23;error24;error25;error26;error27;error28;error29;error30;error31;error32;error33;error34;error35;error36;error37;error38;error39;error40;error41;error42;error43;error44;error45;error46;error47;error48;error49;error_average_ratios;error_stddev_ratios
4;6800,44261302;190288,65984;1185,14643826;24234,9312115;948,961929336;121708,111661;726,101773083;89605,4224911;327839,389981;18405,7688939;183591,752664;2024,68932589;319409,492367;3090,228006;175575,718126;225467,922216;16100,644075;120204,747381;260221,156474;435136,882898;37381,5149812;23397,464086;501666,708094;410499,455793;419510,312386;86263,6613616;5671,04195826;362444,774368;7028,08588469;20987,8113187;19446,1399812;278886,156894;1593,85904706;20082,0146753;397490,00483;16072,190462;319843,515578;48259,7006676;1395,67839102;465140,80693;13620,2386307;561,911596912;1340,49376542;471128,861649;2951,31489584;176992,024578;479244,167133;4216,90294227;688,847384967;507947,594913;152486,388511;59,153642601
5;24649,7397581;12839,1698293;1231,32719227;618,516686675;38171,5947525;493,428071713;564,885448927;920,275118122;10686,2053064;5325,6172241;583,662225595;14685,5910883;927,002143422;3809,21441424;1210,87404838;12309,4968361;908,512249714;974,683117055;778,486040724;858,44006601;34294,4470294;19120,6320558;630,898245795;1231,32719227;786,362196341;675,593140704;882,598409387;1096,54895943;2274,65134686;3510,11094833;50100,872557;6490,03285152;540,557524258;3008,0733968;2145,79264298;607,358361508;476,989300872;12268,1271626;7984,88754272;920,249007949;2833,62098983;511,37584016;726,236002845;761,586421276;571,030082697;718,140265322;179387,085707;508,86612587;687,817083032;314840,165003;15662,7751002;31,6957506882
6;583,415000675;5636,68851538;2162,20958999;551,385513387;2482,07080504;12449,8306214;905,002638472;2169,60484326;1229,61830095;40190,6520122;819,836956532;1180,73005411;827,056812227;576,404624389;589,576264603;873,052615991;590002,437068;831,663281271;775,500378383;91857,9873558;93026,3935945;10729,2960955;761,838246088;799,443083248;592,560196547;7844,30831658;704,839128011;611,401147119;647,812157285;7212,12005984;1179,38621059;3761,83420777;974,058469033;537678,878609;932,791470473;18704,6214155;661,15859414;9052,03201304;964,469509582;709,624173134;593,638479299;873,851895808;697,958334342;9159,78152256;36646,330801;7134,05494639;669,236616947;571,019201093;645,078178902;781,419550371;30240,3191895;47,0499873147
7;496,923044841;1055,18700287;856,880685659;722,639592479;835,580195898;724,421353959;825,997395152;7338,22302318;897,902304051;2664,14271374;834,535916629;725,36600887;928,714793884;1015,34572021;693,232156898;813,704889771;1131,52130822;1118,69999657;887,255269745;4323,79311099;709,07925214;813,891555932;632,315023693;930,748098674;921,974374456;664,67484042;2087,99001048;746,473389009;2470,66312849;922,803363605;951,957179593;1084,82980243;690,591672672;854,435881739;870,284854703;30302,6231906;25508,9241742;950,009906655;914,249060232;1197,28586322;909,126755611;1231,32719227;710,222365348;1045,71369234;30287,0486551;795,309465632;677,736995349;13442,3764227;814,984572518;2999,6552886;3120,58745024;11,6595220516
8;842,978425283;802,698768583;1206,82904101;909,849929838;949,555603363;723,231070059;1196,52597301;681,521481488;760,65405022;8213,66584481;959,375037695;1005,38762285;806,233158514;750,432788374;851,990660498;784,306636858;813,150712386;1231,32713514;8917,05804532;1026,42090298;6640,60860315;644,257894333;746,086245808;1050,08526737;831,070287171;897,279327075;2730,23979875;1231,27740494;676,31439008;1432,2211129;798,220645181;843,352617916;871,384064638;621,003948758;820,816843432;562,947853545;862,941198911;709,595576341;23775,3066434;1231,32627272;785,052316277;1052,13785578;1231,31274474;1007,90819163;830,93877329;1231,25549278;605,06969011;3549,5065927;828,761384933;1021,86822643;1871,06680307;8,45568679567
9;1019,23632565;1395,42014633;710,333757838;1027,63344335;761,859716989;694,253889645;868,174016626;1044,32193367;1174,55461139;1231,00933504;720,063046434;835,841155958;1231,27190872;836,106559114;940,51141924;1041,26867059;756,951273055;855,621418673;1569,1728409;726,151357398;765,798693749;936,910661459;1053,18613615;939,73318972;942,194437002;685,322369838;729,049440902;819,555219609;953,937572349;1228,85710401;817,524153151;755,86956076;1166,72290424;1061,73857858;752,884277083;1011,34057006;681,862352246;925,64693301;1043,71777813;1347,98405327;831,440292601;857,65333691;17714,0340588;883,347709363;8784,73795282;633,438920377;729,409604929;798,22479097;807,349946905;3046,37880988;1462,91216471;7,19875099483
10;2845,17808885;955,006842176;776,078239932;732,369004615;746,154032136;874,796425759;1272,02131972;883,187385818;1022,75038318;782,521385278;769,268949786;813,933017418;711,484234275;913,424828067;669,929215353;1230,81932143;1232,43637169;723,72527121;877,561116624;1306,60707896;1228,65652595;873,403053022;1126,02784259;641,030294739;1228,10740649;2696,53610243;1075,34683341;776,684236341;968,922523615;945,286212626;694,216828864;2343,2280337;840,635001427;807,021750144;1231,32747516;925,511678039;924,900955849;1202,98567836;1191,7289968;778,364039447;962,607903994;942,811500097;1230,97403884;1229,33044026;28845,0000153;758,000277571;832,520822314;4576,53934604;892,067574895;2182,44381652;1701,82939434;8,87297011173
11;694,40533698;817,286484539;1028,99205803;732,918431153;864,425054875;1149,41824617;741,714824931;833,024466548;1234,54634234;917,63323079;609,202812939;1231,30256442;1220,43547177;770,782519178;781,804751134;900,019622934;803,748297535;730,365780147;673,601873291;1181,74040941;847,381837393;651,49079882;940,135292253;731,969035117;869,235948668;837,751690119;1537,03281803;1146,24768363;728,932974453;733,885707107;752,040877094;777,571000261;1229,77232892;1224,76815302;768,902964056;726,090951482;887,45160595;862,836189259;808,801880894;10672,6723884;1230,71030555;755,739251594;868,404084972;772,526560418;600,150056462;836,238616413;689,896786577;789,405321582;787,335700087;1067,62345662;1081,00741689;5,2633588952
12;1083,66027032;29349,8475756;725,355710717;917,746819824;1048,20539706;1016,26017846;783,684803006;678,007835917;1045,30332108;719,557855045;922,918665098;1045,25180712;8994,71071904;1134,4886096;888,010111716;633,810380452;960,9837735;9658,27918311;883,28128299;1669,67711561;806,577936978;930,534378551;1220,7900719;755,974962315;719,728586205;819,090011721;793,348223776;852,385680993;841,199312723;894,107928353;687,626742184;1223,70507805;948,226425706;852,572209472;819,308073523;820,061491678;966,077594965;952,098003051;891,393817732;805,68229073;10698,2536573;849,097934061;838,800375957;736,425618029;981,919230251;912,022156421;769,838320176;900,400560914;870,580240155;858,601605392;2003,50939869;9,42924363863
13;853,325649261;948,842056986;783,514247654;995,076534121;1049,92815548;876,408442878;868,626639572;1088,78399355;857,860012326;846,038192727;854,081205777;1004,17938721;822,974101113;1031,09279985;677,426760505;787,41955847;973,479076056;986,704760968;892,850961072;784,902591933;741,568526832;1032,29320083;798,526282403;804,60320055;917,453110465;1226,50189867;1014,10311079;738,572002289;1185,57701283;835,249313267;2183,2160349;693,869169534;1188,65990564;975,419695295;712,719451526;803,998531312;829,637605747;1226,70115067;910,113875129;821,250560071;902,069760441;838,119404319;606,172781426;2329,53181029;947,962617599;855,132761106;767,720573576;727,641002765;1223,94547911;850,281068018;953,442520498;2,4629915235
14;834,089716313;800,427345678;1004,77127841;854,328970109;1229,38692856;1140,25540211;809,892990229;842,118538025;1039,47304514;1081,33960497;764,243541454;921,62325695;1009,17601566;737,245179877;765,309905412;743,699252334;900,880740194;690,260985312;1123,61235746;887,138829811;604,103252072;864,37190289;1030,78713206;940,733087573;813,003341935;1033,01209404;989,155690698;2348,98244881;802,843043028;713,579079288;879,221074149;1044,24553837;701,305784107;834,404761025;924,760989543;1216,53276163;1157,5950997;814,120830257;639,570318978;863,203546475;913,953866195;1102,91221714;1025,40774818;929,904239436;1230,48579048;882,40682311;911,194778545;701,928306889;993,392528737;1038,32252762;942,494289739;2,24744785423
15;1160,85583635;957,57163962;860,141313924;875,57332082;1002,63706383;811,322374592;868,415405161;857,818662074;871,945416487;1113,41063833;890,223880855;910,01935198;854,140890172;1222,25032339;743,059420439;839,659616406;1171,77748761;1224,42733777;869,659084303;990,154936399;906,274690709;788,891978003;720,028143336;873,874720246;930,496284613;940,026054996;741,005219813;815,986512888;789,344315995;1144,18812406;1172,13813971;833,992471975;820,727646919;1141,55629693;960,208818708;748,530837828;966,205370438;799,902868582;1108,98703814;1026,36352638;1194,56423559;829,069070978;864,081256802;908,629033027;843,622952384;758,503574298;1111,98821752;958,899808292;872,931009711;739,119754964;928,104039487;1,68656124201
